Address,Settlement Date
"70 Lloyd Street CAMP HILL (LID:1675553, CID:405311)",29/04/2019
"19 Beeston Street Teneriffe (LID:1736974, CID:405446)",29/04/2019
"1 / 58 Donald Street Camp Hill (LID:1752433, CID:406630)",29/04/2019
"7 St Leonards Street Coorparoo (LID:1820266, CID:407753)",30/04/2019
"14 Brooks Street CAMP HILL (LID:1861406, CID:410221)",10/05/2019
"123 Watson Street Camp Hill (LID:1813833, CID:407726)",14/05/2019
"27 Raven Street Camp Hill (LID:1836643, CID:411903)",22/05/2019
"819 Wynnum Road Cannon Hill (LID:1752271, CID:410218)",28/05/2019
"56 Phalerum Avenue Seven Hills (LID:1786884, CID:407741)",29/05/2019
"89 Amy Street Hawthorne (LID:1792392, CID:409400)",10/06/2019
"16 Harmony Crescent Seven Hills (LID:1787372, CID:413213)",21/06/2019
"8 Joan Street NORMAN PARK (LID:1861598, CID:417575)",28/06/2019
"6 / 44 Adelaide Street Carina (LID:1857082, CID:412986)",2/07/2019
"48 Brisbane Avenue Camp Hill (LID:1803092, CID:423400)",19/07/2019
"46 Edencourt Street Camp Hill (LID:1866679, CID:423389)",24/07/2019
"146 Delaney Circuit Carindale (LID:1832922, CID:412529)",30/07/2019
"4 Cedlen Street Camp Hill (LID:1949522, CID:426024)",7/08/2019
"30 Macdonald Street Norman Park (LID:1940837, CID:422230)",29/08/2019
"3 Daly Street Camp Hill (LID:1976523, CID:432876)",23/09/2019
"156 Watson Street Camp Hill (LID:1973232, CID:434116)",23/09/2019
"79A Burn Street Camp Hill (LID:1856852, CID:436574)",18/10/2019
"32 Gristock Street Coorparoo (LID:1951671, CID:434997)",28/10/2019
"28 Taylor Street Balmoral (LID:1865134, CID:444744)",4/11/2019
"1 / 21 East Street Camp Hill (LID:2001643, CID:436476)",5/11/2019
"118 Creek Road MOUNT GRAVATT EAST (LID:1873706, CID:443014)",11/11/2019
"40 Pinecroft Street CAMP HILL (LID:1977135, CID:444561)",22/11/2019
"87 Albert Street Camp Hill (LID:1996359, CID:445397)",9/12/2019
"5 / 11 Kennington Road Camp Hill (LID:2028688, CID:448567)",9/12/2019
"52 Ashton Street Camp Hill (LID:1993334, CID:447915)",16/12/2019
"18 Patrick Street Norman Park (LID:2059144, CID:451514)",24/12/2019
"21 Margaret Street Camp Hill (LID:1976157, CID:444781)",8/01/2020
"26 Indus Street CAMP HILL (LID:2103650, CID:454843)",8/01/2020
"93 Macrossan Avenue Norman Park (LID:2071961, CID:456073)",15/01/2020
"92 Morehead Avenue Norman Park (LID:2070682, CID:456072)",21/01/2020
"29 Martha Street CAMP HILL (LID:2092528, CID:447285)",31/01/2020
"71 Lindsay Street Hawthorne (LID:1991526, CID:462477)",2/03/2020
"29 Raven Street Camp Hill (LID:2204093, CID:465391)",2/03/2020
"27 Kempsie Road Upper Mount Gravatt (LID:2203667, CID:467776)",11/03/2020
"215 Ferguson Road Seven Hills (LID:2083738, CID:465441)",1/04/2020
"46 Pampling Street CAMP HILL (LID:2237466, CID:472142)",14/05/2020
"123 Watson Street Camp Hill (LID:2225588, CID:477248)",20/05/2020
"67 City View Road Camp Hill (LID:2139390, CID:472328)",25/05/2020
"36 McKie Crescent Cannon Hill (LID:2053091, CID:480697)",5/06/2020
"34 Arrol Street Camp Hill (LID:2282567, CID:479796)",17/06/2020
"24 Margaret Street Camp Hill (LID:2352311, CID:485120)",15/07/2020
"151 Tarragindi Road Tarragindi (LID:2186373, CID:485270)",15/07/2020
"63 Brisbane Avenue Camp Hill (LID:2366910, CID:487569)",16/07/2020
"109 Albert Street Camp Hill (LID:2320467, CID:493437)",21/07/2020
"30 Stanton Street Cannon Hill (LID:2265432, CID:494982)",4/08/2020
"16a Pinedale Street Morningside (LID:2365357, CID:493906)",5/08/2020
"12 Pring Street Tarragindi (LID:2325472, CID:492983)",28/08/2020
"45 Brinawa Street Camp Hill (LID:2320351, CID:499419)",4/09/2020
"32 Stanton Street Cannon Hill (LID:2236633, CID:499606)",7/09/2020
"16 Pinedale Street Morningside (LID:2045270, CID:506894)",7/09/2020
"83A Burn Street Camp Hill (LID:2430682, CID:502477)",9/09/2020
"83 Burn Street Camp Hill (LID:2238692, CID:503275)",9/09/2020
"48 Pampling Street Camp Hill (LID:2067109, CID:504569)",9/09/2020
"449 Old Cleveland Road Camp Hill (LID:2211780, CID:506907)",15/09/2020
"37 Third Street Camp Hill (LID:2350179, CID:512148)",17/09/2020
"12 / 20-22 Love Street Bulimba (LID:2430387, CID:511711)",6/10/2020
"137 Temple Street COORPAROO (LID:2336394, CID:509371)",9/10/2020
"26 Donald Street Camp Hill (LID:2139263, CID:510335)",9/10/2020
"38 Halifax Street Coorparoo (LID:2347120, CID:513085)",9/10/2020
"14 Citrus Street Moorooka (LID:2238947, CID:519467)",23/10/2020
"11 Boundary Road Camp Hill (LID:2473902, CID:513747)",28/10/2020
"24 Munce Place Cannon Hill (LID:2053822, CID:515884)",6/11/2020
"58 Kempsie Road Upper Mount Gravatt (LID:2451363, CID:516560)",9/11/2020
"19 Salaria Drive Seven Hills (LID:2440204, CID:524902)",9/11/2020
"122 Stanley Road Camp Hill (LID:2485184, CID:518309)",18/11/2020
"131 Stanley Road Camp Hill (LID:2512453, CID:519410)",20/11/2020
"85 Raven Street Camp Hill (LID:2059743, CID:530929)",4/12/2020
"57 Mcilwraith Avenue NORMAN PARK (LID:2107055, CID:524925)",9/12/2020
"60 Brisbane Avenue Camp Hill (LID:2493375, CID:511688)",15/12/2020
"3 Joan Street Norman Park (LID:2568809, CID:529314)",17/12/2020
"34 Renton Street Camp Hill (LID:2120002, CID:534660)",22/12/2020
"8 Majestic Outlook Seven Hills (LID:2530485, CID:539569)",12/01/2021
"119 Buena Vista Avenue Coorparoo (LID:2513398, CID:532951)",20/01/2021
"11 Hartley Street Camp Hill (LID:2241007, CID:541499)",3/02/2021
"35 PATTISON Avenue NORMAN PARK (LID:2490836, CID:546476)",5/02/2021
"5 / 91 Pembroke Street Carina (LID:2426852, CID:538464)",23/02/2021
"17 Faraday Street CAMP HILL (LID:2627008, CID:555425)",1/03/2021
"77 Newman Avenue CAMP HILL (LID:2554709, CID:559735)",2/03/2021
"24 Margaret Street Camp Hill (LID:2352424, CID:485126)",5/03/2021
"79 Arrol Street Camp Hill (LID:2286027, CID:546281)",5/03/2021
"50 Brisbane Avenue Camp Hill (LID:2671599, CID:560261)",5/03/2021
"97 Macrossan Avenue Norman Park (LID:2662771, CID:559717)",15/03/2021
"6 Fred Street Camp Hill (LID:2632360, CID:561777)",29/03/2021
"9 Rowland Street Coorparoo (LID:2697524, CID:566723)",6/04/2021
"2 Lewis Street CAMP HILL (LID:2611114, CID:557499)",7/04/2021
"33 Durimbil Street Camp Hill (LID:2471148, CID:558911)",12/04/2021
"113 Birdwood Road HOLLAND PARK WEST (LID:2720213, CID:568869)",12/04/2021
"34 Audrey Street Camp Hill (LID:2692009, CID:563994)",27/04/2021
"7 Raven Street Camp Hill (LID:2750058, CID:575198)",27/04/2021
"81 Hipwood Street Norman Park (LID:2238856, CID:575230)",27/04/2021
"137 Ironwood Street Aspley (LID:2763265, CID:573355)",30/04/2021
"81 Hipwood Avenue Coorparoo (LID:2674360, CID:564268)",5/05/2021
"63 Brisbane Avenue Camp Hill (LID:2366912, CID:487570)",11/05/2021
"44 Brisbane Avenue Camp Hill (LID:2720592, CID:583728)",24/05/2021
"67 Power Street Norman Park (LID:2712561, CID:571480)",31/05/2021
"54 Wyena Street Camp Hill (LID:2742535, CID:587934)",7/06/2021
"55 Watson Street Camp Hill (LID:2710143, CID:583725)",8/06/2021
"5 Cedlen Street Camp Hill (LID:2186454, CID:587946)",22/06/2021
"12 Braemar Place Carindale (LID:2749356, CID:586225)",29/06/2021
"28 Prout Street Camp Hill (LID:2832228, CID:594732)",29/06/2021
"53 Adelaide Street Carina (LID:2713168, CID:592458)",30/06/2021
"63 City View Road Camp Hill (LID:2763956, CID:594486)",2/07/2021
"35 Hartley Street Camp Hill (LID:2818239, CID:599251)",12/07/2021
"9 Joan Street Norman Park (LID:2829433, CID:599255)",12/07/2021
"37 Brisbane Avenue Camp Hill (LID:2816405, CID:594667)",21/07/2021
"34 Henderson Street Camp Hill (LID:2820277, CID:594871)",28/07/2021
"42 Lockyer Street Camp Hill (LID:2834520, CID:595006)",29/07/2021
"59A Raven Street Camp Hill (LID:2897794, CID:610476)",17/08/2021
"3 / 141 Jones Road Carina Heights (LID:2927798, CID:617376)",20/08/2021
"15 Rowland Street COORPAROO (LID:2490604, CID:612113)",23/08/2021
"2 / 89 Ison Street MORNINGSIDE (LID:2864986, CID:619083)",3/09/2021
"38 Brinawa Street Camp Hill (LID:2720299, CID:617203)",7/09/2021
"26 Third Street Camp Hill (LID:2877223, CID:607872)",8/09/2021
"8 Joan Street Norman Park (LID:2888541, CID:617011)",8/09/2021
"20 The Promenade Camp Hill (LID:2875481, CID:607965)",10/09/2021
"47 Greens Road Coorparoo (LID:2877626, CID:622694)",27/09/2021
"16 Nurstead Street Camp Hill (LID:2955174, CID:622840)",27/09/2021
"33 Audrey Street Camp Hill (LID:2929609, CID:626713)",12/10/2021
"5 Viminal Hill Crescent Seven Hills (LID:2887228, CID:620795)",13/10/2021
"530 Old Cleveland Road Camp Hill (LID:2520858, CID:617015)",15/10/2021
"85 Plimsoll Street Greenslopes (LID:2963939, CID:629100)",18/10/2021
"50 Pavo Street Camp Hill (LID:2929801, CID:617200)",25/10/2021
"76 Buena Vista Avenue Coorparoo (LID:2903811, CID:626420)",27/10/2021
"113 Mowbray Terrace East Brisbane (LID:2898161, CID:623364)",1/11/2021
"46 Prout Street Camp Hill (LID:2861967, CID:635574)",2/11/2021
"73 Wellington Street Coorparoo (LID:2995616, CID:635759)",4/11/2021
"22 Brooks Street Camp Hill (LID:3004137, CID:631072)",23/11/2021
"48 Brooks Street Camp Hill (LID:2999572, CID:640645)",23/11/2021
"62 Brooks Street Camp Hill (LID:2964268, CID:635994)",25/11/2021
"38 Stanley Road Seven Hills (LID:2748659, CID:640629)",25/11/2021
"22A Arrol Street Camp Hill (LID:2977970, CID:645296)",7/12/2021
"17 Edencourt Street Camp Hill (LID:3018095, CID:645351)",7/12/2021
"1 / 19 Kennington Road Camp Hill (LID:2041643, CID:645392)",8/12/2021
"79 Burn Street Camp Hill (LID:3020616, CID:633044)",9/12/2021
"40 Porteus Drive Seven Hills (LID:2930959, CID:645289)",17/12/2021
"132 Stanley Road Camp Hill (LID:3035429, CID:650194)",20/12/2021
"46 Latrobe Street East Brisbane (LID:2649329, CID:645359)",6/01/2022
"5 / 18 Kennington Road Camp Hill (LID:3060019, CID:652549)",10/01/2022
"22 Arrol Street Camp Hill (LID:3053068, CID:655132)",20/01/2022
"40 Brooks Street Camp Hill (LID:3007299, CID:660265)",21/01/2022
"10 Houthem Street Camp Hill (LID:3080918, CID:655072)",24/01/2022
"119 Railway Parade Norman Park (LID:2237672, CID:660007)",1/02/2022
"590 Vulture Street East Brisbane (LID:3060187, CID:655105)",3/02/2022
"21104 / 11 Beesley Street West End (LID:3080687, CID:656115)",7/02/2022
"8 Lloyd Street Camp Hill (LID:3120985, CID:669036)",15/03/2022
"9 Prout Street Camp Hill (LID:3137463, CID:673667)",15/03/2022
"5 / 19 Dickenson Street Carina (LID:3162852, CID:678193)",28/03/2022
"109 The Promenade Camp Hill (LID:3135397, CID:678307)",31/03/2022
"153 Watson Street Camp Hill (LID:3153608, CID:682341)",8/04/2022
"7 Thomas Street Camp Hill (LID:3130430, CID:666973)",14/04/2022
"24 Asquith Street Morningside (LID:3141177, CID:678360)",14/04/2022
"65 Morehead Avenue NORMAN PARK (LID:3068762, CID:682381)",26/04/2022
"7 Baguette Street Carina (LID:3139388, CID:686586)",26/04/2022
"32 Carranya Street Camp Hill (LID:3168697, CID:688695)",3/05/2022
"79 Arrol Camp Hill (LID:2643883, CID:546284)",5/05/2022
"78 Woodhill Avenue Coorparoo (LID:3198627, CID:684364)",17/05/2022
"80 Porteus Drive Seven Hills (LID:3147422, CID:686663)",17/05/2022
"7 Joachim Street Holland Park West (LID:3186123, CID:694285)",23/05/2022
"48 Kennington Road Camp Hill (LID:3240188, CID:695954)",30/05/2022
"45 Stanley Road Camp Hill (LID:3205995, CID:688765)",1/06/2022
"5 Phalerum Avenue Seven Hills (LID:3240245, CID:697915)",6/06/2022
"160 Morehead Avenue Norman Park (LID:3261859, CID:698003)",6/06/2022
"72 Donald Street Camp Hill (LID:3229896, CID:690751)",8/06/2022
"43 Brinawa Street Camp Hill (LID:2326021, CID:686635)",16/06/2022
"2 / 19 Dickenson Street Carina (LID:3196806, CID:694213)",11/07/2022
"13 Adina Street Norman Park (LID:3251714, CID:701544)",20/07/2022
"30 Arrowsmith Street Camp Hill (LID:3318105, CID:711984)",25/07/2022
"37 Windemere Avenue Morningside (LID:3238348, CID:703540)",27/07/2022
"39 First Street Camp Hill (LID:3038833, CID:706853)",28/07/2022
"52 Porteus Drive Seven Hills (LID:3314787, CID:714021)",4/08/2022
"14 Servius Avenue Seven Hills (LID:3251262, CID:717341)",15/08/2022
"69 Woodhill Avenue Coorparoo (LID:3279253, CID:701604)",22/08/2022
"12 Viminal Hill Crescent Seven Hills (LID:2814506, CID:713998)",31/08/2022
"7 / 159 Watson Street Camp Hill (LID:3380099, CID:722548)",7/09/2022
"34 Brinawa Street Camp Hill (LID:3281525, CID:724076)",12/09/2022
"30 Lewis Street Camp Hill (LID:3316755, CID:727801)",19/09/2022
"6 / 19 Kennington Road Camp Hill (LID:3079660, CID:713860)",30/09/2022
"25 Renton Street CAMP HILL (LID:3280413, CID:735640)",12/10/2022
"8 Perth Street Camp Hill (LID:3376336, CID:733460)",14/10/2022
"17 Greta Street Manly West (LID:3426918, CID:737339)",19/10/2022
"56 Porteus Drive Seven Hills (LID:3400860, CID:737450)",19/10/2022
"39 Brisbane Avenue Camp Hill (LID:3422026, CID:738526)",23/11/2022
"4 / 55 Thorn Street Kangaroo Point (LID:3421373, CID:744993)",30/11/2022
"8 Glanosmond Avenue Camp Hill (LID:3168863, CID:743189)",7/12/2022
"29 The Promenade Camp Hill (LID:3153202, CID:738621)",9/12/2022
"42 Appia Avenue Seven Hills (LID:3380260, CID:749322)",12/12/2022
"24 Jordan Street Greenslopes (LID:3432283, CID:752758)",12/12/2022
"55 Brinawa Street Camp Hill (LID:3451341, CID:754856)",19/12/2022
"1 / 18 Kennington Road Camp Hill (LID:3442166, CID:745588)",16/01/2023
"2 / 25 Pembroke Road Coorparoo (LID:3482716, CID:761088)",23/01/2023
"38 Gum Street Wynnum (LID:3447684, CID:747548)",31/01/2023
"406 Ferguson Road Seven Hills (LID:3422380, CID:751244)",6/02/2023
"128 D'Arcy Road Seven Hills (LID:3500630, CID:757136)",6/02/2023
"6 Nunney Place Carindale (LID:3533211, CID:765085)",6/02/2023
"408 Ferguson Road Seven Hills (LID:3426992, CID:766179)",16/02/2023
"1 Fred Street Camp Hill (LID:3558553, CID:771783)",8/03/2023
"54 / 9 Ellen Street Carina (LID:3500536, CID:772966)",15/03/2023
"990 Creek Road Carina Heights (LID:3523566, CID:771599)",23/03/2023
"9 Moolabar Street Morningside (LID:3580168, CID:775874)",20/04/2023
"22 Orchard Terrace St Lucia (LID:3592611, CID:778396)",21/04/2023
"36 Westmoreland Boulevard Springwood (LID:3611955, CID:783612)",28/04/2023
"79 Arrol Street Camp Hill (LID:3586176, CID:778406)",3/05/2023
"84 Raven Street Camp Hill (LID:2556420, CID:792393)",29/05/2023
"61 Brisbane Avenue Camp Hill (LID:3597836, CID:778483)",5/06/2023
"45 / 18 Bendena Terrace Carina Heights (LID:3642960, CID:792361)",13/06/2023
"32 Worden Street Morningside (LID:3585227, CID:795895)",13/06/2023
"706 / 27 Commercial Road Newstead (LID:3583357, CID:792179)",19/06/2023
"1 Drogheda Close Underwood (LID:3613728, CID:794735)",22/06/2023
"254 Weller Road Tarragindi (LID:3147387, CID:799540)",26/06/2023
"23 Arrol Street Camp Hill (LID:3633248, CID:792395)",28/06/2023
"9 Kinrade Place CARINDALE (LID:2814869, CID:790811)",30/06/2023
"66 Cascade Drive Underwood (LID:3613722, CID:796623)",30/06/2023
"33 / 18 Bendena Terrace Carina Heights (LID:3665753, CID:797141)",3/07/2023
"46 Temple Street Coorparoo (LID:3685362, CID:806105)",24/07/2023
"26 Torville Road Underwood (LID:3613768, CID:801652)",25/07/2023
"5 / 19 Kennington Road Camp Hill (LID:3564127, CID:807647)",31/07/2023
"30 Joseph Street Camp Hill (LID:2807192, CID:806111)",10/08/2023
"24 Torville Road Underwood (LID:3613766, CID:801655)",11/08/2023
"33 Torville Road Underwood (LID:3613779, CID:811425)",17/08/2023
"12 / 18 Bendena Terrace Carina Heights (LID:3707274, CID:812126)",28/08/2023
"523 Old Cleveland Road Camp Hill (LID:3756855, CID:814111)",28/08/2023
"147 Fernvale Road Tarragindi (LID:3756854, CID:814336)",28/08/2023
"24 Arrol Street Camp Hill (LID:3040929, CID:811242)",8/09/2023
"30 Herbert Street Camp Hill (LID:3756983, CID:814089)",14/09/2023
"3 / 29 East Street Camp Hill (LID:3709104, CID:803023)",15/09/2023
"36 Judge Street Norman Park (LID:3674708, CID:820598)",25/09/2023
"4 / 102 Pembroke Road Coorparoo (LID:3764281, CID:824204)",11/10/2023
"104 Britannia Avenue Morningside (LID:3766452, CID:820894)",16/10/2023
"115 Baringa Street Morningside (LID:3756993, CID:825761)",16/10/2023
"3 / 66 Woodhill Avenue Coorparoo (LID:3773833, CID:825795)",16/10/2023
"Lot 20 / 57 Cascade Drive Underwood (LID:3793390, CID:822603)",19/10/2023
"12 Kidwelly Street Carindale (LID:3756989, CID:822298)",20/10/2023
"12 Warilda Street Camp Hill (LID:3598761, CID:820599)",25/10/2023
"20 Donald Street Camp Hill (LID:3756844, CID:814350)",30/10/2023
"33 Breadalbane Street Carindale (LID:3742216, CID:822286)",2/11/2023
"5 Tranters Avenue Camp Hill (LID:3757454, CID:829067)",6/11/2023
"77 Burn Street Camp Hill (LID:3788899, CID:836415)",27/11/2023
